Instruction,GPR,Data
0x02be873b,x14,0x0000000000000000
0x03a9ceb3,x29,0x0000000000000000
0x033379b3,x19,0x8000000000000000
0xcbb58513,x10,0xfffffffffffffcbb
0x033d55bb,x11,0xffffffffffffffff
0x0266e5bb,x11,0xffffffffb7bbb1a4
0x00000013,,
0x033379b3,x19,0x0000000000000000
0x033709b3,x19,0x0000000000000000
0x006d00b3,x1,0x0000000000000000
0x00000013,,
0x02b52333,x6,0xfffffffffffffcbb
0x03a9ceb3,x29,0x0000000000000000
0x41d08eb3,x29,0x0000000000000000
0x02a333b3,x7,0xfffffffffffff976
0x02ed6d33,x26,0x8000000000000000
0x36f715b7,x11,0x0000000036f71000
0x0277433b,x6,0x0000000000000000
0x0013833b,x6,0xfffffffffffff976
0x03a9ceb3,x29,0x0000000000000000
0x49798d1b,x26,0x0000000000000497
0x0015eb37,x22,0x000000000015e000
0xa7db0b1b,x22,0x000000000015da7d
0x00db1b13,x22,0x00000002bb4fa000
0x785b0b13,x22,0x00000002bb4fa785
0x00db1b13,x22,0x00005769f4f0a000
0xaf1b0b13,x22,0x00005769f4f09af1
0x00fb1b13,x22,0x2bb4fa784d788000
0xd5eb0b13,x22,0x2bb4fa784d787d5e
0x00000793,x15,0x0000000000000000
0xfff00a13,x20,0xffffffffffffffff
0x00000313,x6,0x0000000000000000
0xfff00113,x2,0xffffffffffffffff
0xfff00393,x7,0xffffffffffffffff
0xfff00f93,x31,0xffffffffffffffff
0xfff00593,x11,0xffffffffffffffff
0xfff00193,x3,0xffffffffffffffff
0xfe69f537,x10,0xfffffffffe69f000
0xfc15051b,x10,0xfffffffffe69efc1
0x00e51513,x10,0xffffff9a7bf04000
0xb9750513,x10,0xffffff9a7bf03b97
0x00c51513,x10,0xfff9a7bf03b97000
0x78150513,x10,0xfff9a7bf03b97781
0x00c51513,x10,0x9a7bf03b97781000
0x4c150513,x10,0x9a7bf03b977814c1
0xcbb50393,x7,0x9a7bf03b9778117c
0x03478a33,x20,0x0000000000000000
0x0341733b,x6,0xffffffffffffffff
0x2a38c317,x6,0x00000000aa38c39c
0x0235e53b,x10,0x0000000000000000
0x0267c1bb,x3,0x0000000000000000
0x41f10fb3,x31,0x0000000000000000
0x41f10fb3,x31,0xffffffffffffffff
0x036a4fb3,x31,0x0000000000000000
0x00000013,,
0x0271b333,x6,0x0000000000000000
0x02af87bb,x15,0x0000000000000000
0x0341fa33,x20,0x0000000000000000
0x02331533,x10,0x0000000000000000
0x0271b333,x6,0x0000000000000000
0x0341733b,x6,0xffffffffffffffff
0x009bf1b7,x3,0x00000000009bf000
0xe9d1819b,x3,0x00000000009bee9d
0x00d19193,x3,0x000000137dd3a000
0xa9518193,x3,0x000000137dd39a95
0x00c19193,x3,0x000137dd39a95000
0x32518193,x3,0x000137dd39a95325
0x00c19193,x3,0x137dd39a95325000
0x94b18193,x3,0x137dd39a9532494b
0x00000793,x15,0x0000000000000000
0xff980137,x2,0xffffffffff980000
0xf151011b,x2,0xffffffffff97ff15
0x00e11113,x2,0xffffffe5ffc54000
0x4ab10113,x2,0xffffffe5ffc544ab
0x00d11113,x2,0xfffcbff8a8956000
0x06310113,x2,0xfffcbff8a8956063
0x00d11113,x2,0x97ff1512ac0c6000
0xd7410113,x2,0x97ff1512ac0c5d74
0x008cb2b7,x5,0x00000000008cb000
0x2552829b,x5,0x00000000008cb255
0x00e29293,x5,0x000000232c954000
0x86d28293,x5,0x000000232c95386d
0x00c29293,x5,0x000232c95386d000
0xd4128293,x5,0x000232c95386cd41
0x00c29293,x5,0x232c95386cd41000
0x88e28293,x5,0x232c95386cd4088e
0xfff0061b,x12,0xffffffffffffffff
0x03f61613,x12,0x8000000000000000
0x00000393,x7,0x0000000000000000
0xde85b5b7,x11,0xffffffffde85b000
0x7935859b,x11,0xffffffffde85b793
0x00f59593,x11,0xffffef42dbc98000
0x35d58593,x11,0xffffef42dbc9835d
0x00c59593,x11,0xfef42dbc9835d000
0x9d558593,x11,0xfef42dbc9835c9d5
0xfff00b13,x22,0xffffffffffffffff
0x027784b7,x9,0x0000000002778000
0x1614849b,x9,0x0000000002778161
0x00c49493,x9,0x0000002778161000
0x9ad48493,x9,0x00000027781609ad
0x00c49493,x9,0x00027781609ad000
0x37548493,x9,0x00027781609ad375
0x00c49493,x9,0x27781609ad375000
0x90548493,x9,0x27781609ad374905
0xfff00d9b,x27,0xffffffffffffffff
0x03fd9d93,x27,0x8000000000000000
0x2a38c297,x5,0x00000000aa38c484
0x02bb5633,x12,0x0000000000000001
0x36f714b7,x9,0x0000000036f71000
0x02f607b3,x15,0x0000000000000000
0x41b10db3,x27,0x17ff1512ac0c5d74
0x2a38c297,x5,0x00000000aa38c498
0x2a38c297,x5,0x00000000aa38c49c
0x029d863b,x12,0x0000000068c34000
0x0293a1b3,x3,0x0000000000000000
0x41b10db3,x27,0x8000000000000000
0x025641bb,x3,0xffffffffffffffff
0x0293a1b3,x3,0x0000000000000000
0x029d863b,x12,0x0000000000000000
0xcbb48393,x7,0x0000000036f70cbb
0x41b10db3,x27,0x17ff1512ac0c5d74
0x40778b3b,x22,0xffffffffc908f345
0x2a38c297,x5,0x00000000aa38c4c4
0xcbb48393,x7,0x0000000036f70cbb
0xff2eb8b7,x17,0xffffffffff2eb000
0x5358889b,x17,0xffffffffff2eb535
0x00d89893,x17,0xffffffe5d6a6a000
0xb4988893,x17,0xffffffe5d6a69b49
0x00c89893,x17,0xfffe5d6a69b49000
0x98f88893,x17,0xfffe5d6a69b4898f
0x00c89893,x17,0xe5d6a69b4898f000
0x2c588893,x17,0xe5d6a69b4898f2c5
0xfff00713,x14,0xffffffffffffffff
0xfff00113,x2,0xffffffffffffffff
0xfff00993,x19,0xffffffffffffffff
0xfff00e93,x29,0xffffffffffffffff
0xffe0b937,x18,0xffffffffffe0b000
0x7959091b,x18,0xffffffffffe0b795
0x00c91913,x18,0xfffffffe0b795000
0x93f90913,x18,0xfffffffe0b79493f
0x00d91913,x18,0xffffc16f2927e000
0xc9390913,x18,0xffffc16f2927dc93
0x01091913,x18,0xc16f2927dc930000
0x69d90913,x18,0xc16f2927dc93069d
0xfff00d13,x26,0xffffffffffffffff
0x00000693,x13,0x0000000000000000
0x00000f13,x30,0x0000000000000000
0xff065a37,x20,0xffffffffff065000
0x8e7a0a1b,x20,0xffffffffff0648e7
0x00ca1a13,x20,0xfffffff0648e7000
0xd97a0a13,x20,0xfffffff0648e6d97
0x00ca1a13,x20,0xffff0648e6d97000
0xec7a0a13,x20,0xffff0648e6d96ec7
0x00ea1a13,x20,0xc19239b65bb1c000
0xc72a0a13,x20,0xc19239b65bb1bc72
0x41e10f33,x30,0xffffffffffffffff
0x0316b733,x14,0x0000000000000000
0x03a6fd33,x26,0x0000000000000000
0x03a1773b,x14,0xffffffffffffffff
0x497d0e9b,x29,0x0000000000000497
0x2a38c717,x14,0x00000000aa38c55c
0x03aa0d33,x26,0x0000000000000000
0x03aa0d33,x26,0x0000000000000000
0x002706bb,x13,0xffffffffaa38c55b
0x002706bb,x13,0xffffffffaa38c55b
0x03aa0d33,x26,0x0000000000000000
0x0328a6b3,x13,0xec3b77789ce77a62
0x03dd4f33,x30,0x0000000000000000
0x02ea46bb,x13,0xffffffffffffffff
0x03aa0d33,x26,0x0000000000000000
0x002706bb,x13,0xffffffffaa38c55b
0x02ea46bb,x13,0xffffffffffffffff
0x03a6fd33,x26,0xffffffffffffffff
0x02ea46bb,x13,0xffffffffffffffff
0x00000013,,
0x00000893,x17,0x0000000000000000
0xfff00a93,x21,0xffffffffffffffff
0x00000d93,x27,0x0000000000000000
0x00b5d237,x4,0x0000000000b5d000
0xcb12021b,x4,0x0000000000b5ccb1
0x00c21213,x4,0x0000000b5ccb1000
0xc0120213,x4,0x0000000b5ccb0c01
0x00d21213,x4,0x00016b9961802000
0x3b120213,x4,0x00016b99618023b1
0x00e21213,x4,0x5ae6586008ec4000
0x05b20213,x4,0x5ae6586008ec405b
0x00000813,x16,0x0000000000000000
0xfff00913,x18,0xffffffffffffffff
0x00000793,x15,0x0000000000000000
0xfff00713,x14,0xffffffffffffffff
0xfff0031b,x6,0xffffffffffffffff
0x03f31313,x6,0x8000000000000000
0xfff00b13,x22,0xffffffffffffffff
0x006b0233,x4,0x7fffffffffffffff
0x0307a333,x6,0x0000000000000000
0x0268e83b,x16,0x0000000000000000
0x031b5933,x18,0xffffffffffffffff
0x02e9433b,x6,0x0000000000000001
0x02f33733,x14,0x0000000000000000
0xcbb80793,x15,0xfffffffffffffcbb
0x41b20db3,x27,0x7fffffffffffffff
0x0268e83b,x16,0x0000000000000000
0x006b0233,x4,0x0000000000000000
0xcbb80793,x15,0xfffffffffffffcbb
0x02671833,x16,0x0000000000000000
0x0047033b,x6,0x0000000000000000
0x02671833,x16,0x0000000000000000
0x497a8b1b,x22,0x0000000000000496
0x032b6b33,x22,0x0000000000000000
0x36f71837,x16,0x0000000036f71000
0x02e9433b,x6,0xffffffffffffffff
0x030d893b,x18,0xffffffffc908f000
0x0047033b,x6,0x0000000000000000
0x00000513,x10,0x0000000000000000
0xfff00c9b,x25,0xffffffffffffffff
0x03fc9c93,x25,0x8000000000000000
0xfff0049b,x9,0xffffffffffffffff
0x03f49493,x9,0x8000000000000000
0xfff00613,x12,0xffffffffffffffff
0x00000913,x18,0x0000000000000000
0xfff00813,x16,0xffffffffffffffff
0x0374c237,x4,0x000000000374c000
0x5032021b,x4,0x000000000374c503
0x00c21213,x4,0x000000374c503000
0x56d20213,x4,0x000000374c50356d
0x00d21213,x4,0x0006e98a06ada000
0x31f20213,x4,0x0006e98a06ada31f
0x00c21213,x4,0x6e98a06ada31f000
0xef820213,x4,0x6e98a06ada31eef8
0xfff00a9b,x21,0xffffffffffffffff
0x03fa9a93,x21,0x8000000000000000
0xfff0011b,x2,0xffffffffffffffff
0x03f11113,x2,0x8000000000000000
0xfff00e9b,x29,0xffffffffffffffff
0x03fe9e93,x29,0x8000000000000000
0x030cd933,x18,0x0000000000000000
0x004c8133,x2,0xee98a06ada31eef8
0xcbb60513,x10,0xfffffffffffffcba
0x41d10eb3,x29,0x6e98a06ada31eef8
0x02ce893b,x18,0x0000000025ce1108
0x02a234b3,x9,0x6e98a06ada31ed8d
0x02449633,x12,0x2fc784dab6ebc163
0x00000013,,
0x004c8133,x2,0xee98a06ada31eef8
0x497a8c9b,x25,0x0000000000000497
0x030cd933,x18,0x0000000000000000
0x00000013,,
0x02a234b3,x9,0x6e98a06ada31ed8d
0x02449633,x12,0x2fc784dab6ebc163
0x035174bb,x9,0xffffffffda31eef8
0x004c8133,x2,0x6e98a06ada31f38f
0x02a234b3,x9,0x6e98a06ada31ed8d
0x0248663b,x12,0xffffffffffffffff
0xfff0051b,x10,0xffffffffffffffff
0x03f51513,x10,0x8000000000000000
0xfff00e9b,x29,0xffffffffffffffff
0x03fe9e93,x29,0x8000000000000000
0xfff0041b,x8,0xffffffffffffffff
0x03f41413,x8,0x8000000000000000
0xffe286b7,x13,0xffffffffffe28000
0x1756869b,x13,0xffffffffffe28175
0x00d69693,x13,0xfffffffc502ea000
0xa4568693,x13,0xfffffffc502e9a45
0x00f69693,x13,0xfffe28174d228000
0x45368693,x13,0xfffe28174d228453
0x00c69693,x13,0xe28174d228453000
0x2ee68693,x13,0xe28174d2284532ee
0xfff00213,x4,0xffffffffffffffff
0xffbd4837,x16,0xffffffffffbd4000
0x1918081b,x16,0xffffffffffbd4191
0x00d81813,x16,0xfffffff7a8322000
0xc0980813,x16,0xfffffff7a8321c09
0x00e81813,x16,0xfffdea0c87024000
0x2e380813,x16,0xfffdea0c870242e3
0x00d81813,x16,0xbd4190e0485c6000
0x2b580813,x16,0xbd4190e0485c62b5
0xfff00713,x14,0xffffffffffffffff
0xfff0019b,x3,0xffffffffffffffff
0x03f19193,x3,0x8000000000000000
0x00000893,x17,0x0000000000000000
0x007b6fb7,x31,0x00000000007b6000
0x8adf8f9b,x31,0x00000000007b58ad
0x00cf9f93,x31,0x00000007b58ad000
0x68df8f93,x31,0x00000007b58ad68d
0x00ef9f93,x31,0x0001ed62b5a34000
0xccbf8f93,x31,0x0001ed62b5a33ccb
0x00cf9f93,x31,0x1ed62b5a33ccb000
0x70ff8f93,x31,0x1ed62b5a33ccb70f
0x40a88ebb,x29,0x0000000000000000
0x2a38c417,x8,0x00000000aa38c760
0x031ed6bb,x13,0xffffffffffffffff
0x031ed6bb,x13,0xffffffffffffffff
0x0034023b,x4,0xffffffffaa38c760
0x02eed833,x16,0x0000000000000000
0x36f716b7,x13,0x0000000036f71000
0x49788e9b,x29,0x0000000000000497
0x02d52233,x4,0xffffffffe4847800
0x031808b3,x17,0x0000000000000000
0x36f716b7,x13,0x0000000036f71000
0x49788e9b,x29,0x0000000000000497
0x36f716b7,x13,0x0000000036f71000
0x030eeeb3,x29,0x0000000000000497
0x02eed833,x16,0x0000000000000000
0x02d52233,x4,0xffffffffe4847800
0x004e81b3,x3,0xffffffffe4847c97
0x024766bb,x13,0xffffffffffffffff
0x02d52233,x4,0x8000000000000000
0x024766bb,x13,0xffffffffffffffff
0x03d8cfb3,x31,0x0000000000000000
0x031808b3,x17,0x0000000000000000
0x030eeeb3,x29,0x0000000000000497
0x0311f43b,x8,0xffffffffe4847c97
0x0288423b,x4,0x0000000000000000
0x07f75337,x6,0x0000000007f75000
0xa2f3031b,x6,0x0000000007f74a2f
0x00c31313,x6,0x0000007f74a2f000
0x97f30313,x6,0x0000007f74a2e97f
0x00c31313,x6,0x0007f74a2e97f000
0x9dd30313,x6,0x0007f74a2e97e9dd
0x00c31313,x6,0x7f74a2e97e9dd000
0x85630313,x6,0x7f74a2e97e9dc856
0xfff00b1b,x22,0xffffffffffffffff
0x03fb1b13,x22,0x8000000000000000
0x02bf31b7,x3,0x0000000002bf3000
0x8cf1819b,x3,0x0000000002bf28cf
0x00d19193,x3,0x00000057e519e000
0xf4518193,x3,0x00000057e519df45
0x00c19193,x3,0x00057e519df45000
0xf6118193,x3,0x00057e519df44f61
0x00c19193,x3,0x57e519df44f61000
0x7c718193,x3,0x57e519df44f617c7
0xfff0081b,x16,0xffffffffffffffff
0x03f81813,x16,0x8000000000000000
0xffeb37b7,x15,0xffffffffffeb3000
0xa417879b,x15,0xffffffffffeb2a41
0x00f79793,x15,0xfffffff595208000
0x59178793,x15,0xfffffff595208591
0x00f79793,x15,0xfffaca9042c88000
0x6d378793,x15,0xfffaca9042c886d3
0x00c79793,x15,0xaca9042c886d3000
0xce678793,x15,0xaca9042c886d2ce6
0x00000a13,x20,0x0000000000000000
0x00000393,x7,0x0000000000000000
0x00000613,x12,0x0000000000000000
0xfff00e9b,x29,0xffffffffffffffff
0x03fe9e93,x29,0x8000000000000000
0x0189d6b7,x13,0x000000000189d000
0x9d16869b,x13,0x000000000189c9d1
0x00c69693,x13,0x000000189c9d1000
0x82968693,x13,0x000000189c9d0829
0x00d69693,x13,0x00031393a1052000
0x7e168693,x13,0x00031393a10527e1
0x00c69693,x13,0x31393a10527e1000
0x39168693,x13,0x31393a10527e1391
0x0341f3bb,x7,0x0000000044f617c7
0x40ca0b3b,x22,0x0000000000000000
0x03437a33,x20,0x7f74a2e97e9dc856
0x02c333b3,x7,0x0000000000000000
0x026396b3,x13,0x0000000000000000
0x02d62333,x6,0x0000000000000000
0x03480a33,x20,0x0000000000000000
0x00000013,,
0x2a38c397,x7,0x00000000aa38c884
0x497a0b1b,x22,0x0000000000000497
0x034b56bb,x13,0xffffffffffffffff
0x0267e6bb,x13,0xffffffff886d2ce6
0x036a4eb3,x29,0x0000000000000000
0x0278433b,x6,0x0000000000000000
0x006b01b3,x3,0x0000000000000497
0xcbb68613,x12,0xffffffff886d29a1
0x40ca0b3b,x22,0x000000007792d65f
0x02c333b3,x7,0x0000000000000000
0x497a0b1b,x22,0x0000000000000497
0x036a4eb3,x29,0x0000000000000000
0x026396b3,x13,0x0000000000000000
0x034b56bb,x13,0xffffffffffffffff
0x02de883b,x16,0x0000000000000000
0x034b56bb,x13,0xffffffffffffffff
0xcbb68613,x12,0xfffffffffffffcba
0x00000013,,
0x41d18eb3,x29,0x0000000000000497
0x2a38c397,x7,0x00000000aa38c8d0
0x41d18eb3,x29,0x0000000000000000
0x2a38c397,x7,0x00000000aa38c8d8
0xfff00413,x8,0xffffffffffffffff
0xfff0071b,x14,0xffffffffffffffff
0x03f71713,x14,0x8000000000000000
0xfff0039b,x7,0xffffffffffffffff
0x03f39393,x7,0x8000000000000000
0xfc10bdb7,x27,0xfffffffffc10b000
0xe3dd8d9b,x27,0xfffffffffc10ae3d
0x00cd9d93,x27,0xffffffc10ae3d000
0x90bd8d93,x27,0xffffffc10ae3c90b
0x00cd9d93,x27,0xfffc10ae3c90b000
0x389d8d93,x27,0xfffc10ae3c90b389
0x00dd9d93,x27,0x8215c79216712000
0xbdfd8d93,x27,0x8215c79216711bdf
0xfff00d13,x26,0xffffffffffffffff
0xfff00893,x17,0xffffffffffffffff
0x00fbfeb7,x29,0x0000000000fbf000
0x073e8e9b,x29,0x0000000000fbf073
0x00ce9e93,x29,0x0000000fbf073000
0xaf3e8e93,x29,0x0000000fbf072af3
0x00de9e93,x29,0x0001f7e0e55e6000
0x113e8e93,x29,0x0001f7e0e55e6113
0x00ee9e93,x29,0x7df839579844c000
0x1cbe8e93,x29,0x7df839579844c1cb
0x00000993,x19,0x0000000000000000
0xfff00f93,x31,0xffffffffffffffff
0x00000613,x12,0x0000000000000000
0x008e83b3,x7,0x7df839579844c1ca
0x02e43633,x12,0x7fffffffffffffff
0x03172433,x8,0x8000000000000000
0x0076043b,x8,0xffffffff9844c1c9
0x03aeeeb3,x29,0x0000000000000000
0x0076043b,x8,0xffffffff9844c1c9
0x028618b3,x17,0xffffffffcc2260e4
0x03ddcfb3,x31,0xffffffffffffffff
0x03bed8bb,x17,0x0000000000000000
0x02cd443b,x8,0x0000000000000001
0x03bed8bb,x17,0x0000000000000000
0x028618b3,x17,0x0000000000000000
0x02e43633,x12,0x0000000000000000
0x008e83b3,x7,0x0000000000000001
0x028618b3,x17,0x0000000000000000
